group,Home Improvement Contractor,Debt Collection Agency,Hospitality and Food Services,Process Serving Agency,Pool or Billiard Room,Service Providers,Scale Dealer Repairer,General Vendor Distributor,Specialty Services,Scrap Metal Processor,Auction House Premises,Parking Lot,Sidewalk Cafe,Bingo Game Operator,Horse Drawn Cab Owner,Booting Company,Cabaret,root,Tow Truck Company,Amusement Device Temporary,Employment Agency,Secondhand Dealer - General,Special Sale,Storage Warehouse,Cigarette Retail Dealer,Newsstand,Amusement Arcade,Property and Real Estate,Electronics Store,Games of Chance,Secondhand Dealer - Auto,Transportation and Storage,Tow Truck Exemption,Amusement Device Permanent,Secondhand Dealer - Firearms,Pedicab Business,Laundry Jobber,Entertainment and Leisure,Amusement Device Portable,Dealer In Products,Gaming Cafe,Stoop Line Stand,Laundry,Commercial Lessor,Sightseeing Bus,Catering Establishment,Electronic & Appliance Service,Garage and Parking Lot,Garage,Retail and Sales
43564,8,3,1,0,1,12,0,0,0,0,0,0,1,0,0,0,0,50,1,0,0,4,0,0,14,1,0,7,4,0,0,3,0,0,0,1,3,1,0,1,0,2,4,0,0,0,1,0,1,26
15139,4,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,48,3,0,0,5,0,0,12,0,0,6,4,0,0,8,0,0,0,0,2,1,1,2,0,5,4,0,0,0,0,0,3,28
3736,9,1,0,2,0,15,0,0,0,0,0,0,0,1,0,0,1,61,3,0,1,7,0,0,13,0,0,6,5,0,1,8,2,0,0,0,4,3,1,0,0,3,2,0,1,0,2,0,2,29
39362,12,2,1,0,0,18,1,0,1,1,0,0,1,0,0,0,0,50,0,0,1,4,0,0,11,1,0,7,4,0,0,1,0,0,0,0,1,0,0,0,0,2,6,0,0,0,2,0,1,22
28520,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,5,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7
32042,11,0,2,0,0,13,0,0,0,0,0,0,2,0,0,0,0,40,1,0,0,5,0,0,7,1,0,1,1,0,2,3,0,0,0,1,1,2,2,2,0,1,0,0,0,0,2,0,1,19
1793,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,67,2,0,0,10,0,0,19,0,0,3,6,0,1,6,0,0,0,0,2,0,0,3,0,5,1,0,0,0,2,0,4,44
27473,11,2,0,0,0,14,0,0,0,0,0,1,0,0,0,0,1,52,1,0,0,10,0,0,11,1,0,4,2,0,1,2,0,0,0,0,3,1,0,1,0,5,1,0,0,0,1,0,0,31
6660,10,0,2,0,0,11,0,0,0,0,0,3,2,0,0,0,0,60,1,0,0,5,0,0,10,0,0,12,8,0,0,7,0,0,0,1,5,1,1,0,0,4,7,0,0,0,1,0,2,27
13223,12,2,1,0,0,15,0,0,0,0,0,1,1,0,0,0,0,51,1,0,0,5,0,0,8,0,0,8,5,0,1,2,0,0,0,0,4,1,1,2,0,3,4,0,0,0,1,0,0,24
2944,9,1,3,0,0,15,0,0,1,1,0,1,3,0,1,0,1,58,0,0,3,11,0,0,10,0,0,4,5,0,0,3,0,0,0,0,1,4,3,0,0,2,3,0,0,0,2,0,1,28
17340,12,1,2,1,0,15,0,0,0,0,0,3,2,0,0,0,1,50,0,0,1,3,0,0,9,0,0,6,3,0,0,7,0,0,0,0,3,1,0,1,0,3,3,0,0,0,0,0,4,19
17202,15,5,3,0,0,24,0,0,0,0,0,1,1,0,0,0,0,73,0,0,1,12,0,0,12,0,0,8,5,0,2,6,0,0,0,1,5,0,0,1,0,0,3,0,0,2,3,1,3,32
6914,10,2,1,0,0,15,0,0,1,1,0,0,1,0,0,0,0,51,0,0,0,4,0,0,12,0,0,6,6,0,0,2,0,0,0,0,2,0,0,1,0,3,4,0,1,0,3,0,1,26
2072,5,3,2,0,0,12,0,0,0,0,0,0,2,0,0,0,0,49,0,0,0,4,0,0,11,1,0,6,3,0,0,4,0,0,0,1,1,1,1,2,0,3,5,0,0,0,4,0,3,24
3201,19,1,1,0,0,21,0,0,1,1,0,1,1,0,0,0,0,59,0,0,1,3,0,0,17,0,0,2,5,0,2,3,0,0,0,0,1,3,2,0,1,1,1,0,0,0,0,1,1,28
18639,12,2,3,0,0,17,0,0,0,0,0,0,3,0,0,0,0,60,0,0,0,3,0,0,16,0,0,8,1,0,3,4,0,0,0,1,1,0,0,1,0,4,7,0,0,0,3,0,3,28
19969,16,3,2,0,0,24,0,0,0,0,0,0,2,0,0,0,0,67,0,0,2,5,0,0,12,1,0,9,7,0,0,2,0,0,0,0,6,2,2,1,0,2,3,0,0,0,3,0,2,28
44603,13,1,1,0,0,14,0,0,0,0,0,1,1,0,0,0,0,52,2,0,0,9,0,0,8,0,0,3,2,1,2,6,0,1,0,0,1,3,1,0,0,4,2,0,0,0,0,0,3,25
10137,8,2,2,0,0,12,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,7,0,0,5,1,0,9,5,0,0,1,0,0,0,1,2,2,1,1,1,3,7,0,0,0,2,0,0,22
20611,17,0,1,0,0,19,0,0,0,0,0,1,1,0,0,0,0,54,1,0,1,3,0,1,14,1,0,5,1,0,1,5,0,1,0,0,1,2,1,1,0,1,4,0,0,0,1,0,2,22
44801,4,3,3,0,0,9,0,0,0,0,0,1,3,1,0,0,0,47,1,0,0,1,0,0,14,3,0,2,6,1,0,2,0,1,0,0,0,4,1,1,0,2,2,0,0,0,2,0,0,27
44907,11,1,0,0,0,14,0,0,1,1,0,1,0,0,0,0,1,71,1,0,0,9,0,0,13,2,0,7,4,0,2,8,0,0,0,1,1,5,4,2,0,4,6,0,0,0,2,1,4,36
44358,16,3,3,0,0,21,0,0,0,0,0,0,3,0,0,0,0,48,1,0,1,7,0,1,4,1,0,1,3,0,1,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,21
2819,10,1,3,1,1,15,0,0,0,0,0,0,2,0,0,0,0,52,0,0,0,3,0,0,9,0,0,7,5,0,3,3,0,0,0,0,2,1,0,2,0,1,5,0,0,1,3,0,3,23
17274,15,1,4,0,0,17,0,0,0,0,0,0,4,0,0,0,0,77,1,0,1,19,0,0,12,0,0,8,2,0,4,4,0,1,0,0,2,2,1,2,0,3,6,0,0,0,0,1,2,42
17367,11,2,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,46,0,0,1,9,0,0,5,0,0,3,2,1,0,4,0,0,0,0,2,2,1,0,0,3,1,0,0,0,4,1,1,19
44588,9,2,2,0,0,16,0,0,1,1,0,2,2,1,0,0,0,58,1,0,1,7,0,0,10,0,0,7,4,0,3,3,0,1,0,0,2,2,0,2,0,1,5,0,0,0,4,0,0,27
28316,5,1,2,0,0,7,0,0,1,1,0,2,2,0,0,0,0,35,2,0,0,5,0,0,7,0,0,4,1,0,2,6,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,1,15
17211,20,0,1,0,0,24,1,0,0,0,0,2,1,0,0,0,0,74,1,0,2,9,0,0,16,1,0,5,2,1,0,6,0,1,0,0,3,3,1,1,0,6,2,0,0,0,1,1,2,35
39555,14,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,56,2,0,0,4,0,0,14,0,0,6,7,0,1,5,1,0,0,0,3,0,0,2,0,0,3,0,0,0,3,0,0,28
44841,11,2,4,0,0,16,1,0,0,0,0,1,4,0,0,0,0,57,2,0,0,7,0,0,12,0,0,7,1,1,0,4,0,0,0,0,2,3,2,0,0,3,5,0,0,0,2,0,1,23
5888,10,4,1,0,0,17,0,0,0,0,0,1,1,0,0,0,0,51,0,0,1,8,0,0,12,0,0,3,3,0,3,1,0,0,0,0,1,0,0,1,0,2,2,0,0,0,2,0,0,29
7312,22,1,1,1,0,25,0,0,0,0,0,0,1,0,0,0,0,72,0,0,0,14,0,0,16,1,0,6,0,0,3,1,0,0,0,0,4,0,0,1,0,4,2,0,0,0,1,0,1,39
44444,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,5,0,0,6,0,0,3,3,0,0,5,0,0,0,1,1,2,1,2,0,3,2,0,0,0,4,0,3,19
8326,11,1,2,0,0,14,0,0,0,0,0,0,2,0,0,0,0,44,0,0,1,4,0,0,6,1,0,5,5,0,1,3,0,0,0,1,0,0,0,2,0,1,5,0,0,0,1,0,2,20
17209,10,3,5,1,0,19,0,0,0,0,0,0,5,0,0,0,0,68,1,0,1,11,0,0,11,1,0,9,4,1,1,3,0,0,0,0,1,2,1,0,0,2,8,0,0,0,4,0,2,30
44751,8,2,2,0,0,13,0,0,0,0,0,1,2,0,0,0,0,46,2,0,1,5,0,0,10,0,0,5,4,0,0,4,0,0,0,0,2,0,0,3,0,0,3,0,0,0,2,0,1,22
44564,12,2,2,1,0,16,0,0,0,0,0,2,2,0,0,0,0,56,1,0,0,12,0,0,9,0,0,5,2,0,0,7,0,0,0,1,3,1,1,2,0,0,2,0,1,0,1,0,2,25
26247,17,3,3,0,0,23,1,0,0,0,0,0,3,0,0,0,0,66,1,0,0,10,0,0,12,2,0,6,3,3,1,2,1,0,0,0,4,3,0,0,0,1,2,0,0,0,2,0,0,29
4360,6,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,8,0,0,15,0,0,8,3,1,1,3,0,0,0,0,2,1,0,0,0,2,6,0,0,0,1,1,2,29
11754,12,1,3,0,0,17,0,0,0,0,0,1,3,0,0,0,0,55,0,0,0,7,0,0,12,0,0,6,2,0,1,2,0,1,0,1,2,3,1,0,1,2,4,0,0,0,4,0,0,24
43573,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,4,0,0,2,1,0,0,1,0,0,0,0,1,1,1,0,0,3,1,0,0,0,0,0,1,12
34839,11,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,6,0,0,12,1,0,7,3,0,2,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,2,0,0,27
2315,7,3,1,0,0,12,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,6,0,0,7,0,0,6,3,0,1,2,0,0,0,2,4,1,1,1,0,2,2,0,0,0,2,0,0,20
32644,14,2,1,0,0,21,0,0,0,0,0,1,1,0,0,0,0,57,1,0,0,6,0,0,12,1,0,8,2,0,0,3,0,0,0,0,4,0,0,1,0,2,3,1,0,0,5,0,1,24
22272,11,2,1,1,0,17,0,0,0,0,0,1,1,0,1,0,0,61,0,0,1,8,0,0,10,0,0,4,7,0,3,7,0,0,0,2,1,0,0,1,0,3,3,0,0,0,2,0,3,32
36997,16,1,2,0,0,17,0,0,0,0,0,0,2,0,0,0,0,46,1,0,0,8,0,0,6,0,0,4,3,0,0,3,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,2,20
24982,14,1,5,1,1,20,0,0,0,0,0,0,5,0,0,0,0,66,0,0,1,6,0,0,15,2,0,9,2,0,1,3,0,1,0,0,2,2,0,0,0,1,7,0,0,0,3,0,3,27
28515,6,3,3,1,0,14,0,0,0,0,0,0,2,0,1,0,0,44,0,0,0,8,0,0,9,0,0,4,4,0,0,1,0,0,0,0,1,1,1,0,0,0,3,0,0,1,4,0,0,21
1821,8,4,2,0,0,13,0,0,0,0,0,1,2,0,0,0,0,51,0,0,0,5,0,0,18,0,0,2,2,0,1,4,1,0,0,1,0,1,1,2,0,1,2,0,0,0,1,0,1,29
776,11,1,3,0,0,18,0,0,0,0,0,0,3,0,0,0,2,65,0,0,1,8,0,1,17,0,0,8,3,0,0,5,0,1,0,1,5,3,0,0,0,0,3,0,0,0,5,0,3,28
2449,11,4,1,0,0,17,0,0,0,0,0,0,1,1,1,0,0,63,1,0,1,8,0,0,11,0,0,4,7,0,0,6,0,0,0,0,0,2,1,1,0,6,4,0,0,0,1,0,4,33
3585,15,1,0,1,0,19,0,0,0,0,0,1,0,0,1,0,0,61,0,0,0,3,0,0,12,2,0,10,2,0,2,4,0,0,0,1,5,1,1,1,0,5,5,0,0,0,2,0,1,27
37405,7,2,5,1,0,13,0,0,0,0,0,1,5,0,0,0,0,46,0,0,0,7,0,0,8,0,0,5,2,0,1,3,0,0,0,0,3,0,0,0,0,2,2,0,0,0,3,0,2,20
3330,19,5,3,0,0,28,0,0,0,0,0,1,3,0,1,0,0,78,1,0,1,10,0,0,18,0,0,6,4,0,0,5,0,1,0,0,3,1,0,0,0,3,3,0,0,0,3,0,2,35
3456,13,1,2,0,0,15,0,0,0,0,0,0,2,0,0,0,0,63,0,0,0,10,0,0,16,1,0,4,7,0,2,3,0,1,0,0,2,2,1,0,0,1,2,0,0,0,1,0,3,37
33746,5,0,1,0,1,6,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,3,0,0,10,0,0,1,6,0,1,4,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,4,21
36361,9,2,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,38,0,0,1,3,0,0,4,2,0,5,4,0,0,2,0,0,0,0,3,0,0,1,0,3,2,0,0,0,2,0,1,17
7948,13,3,2,0,0,17,0,0,0,0,0,1,2,0,0,0,0,60,0,0,0,4,0,0,17,0,0,6,3,0,1,4,0,0,0,0,2,0,0,1,0,5,4,0,0,0,1,0,3,31
29380,7,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,2,0,0,6,0,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,11
44634,10,2,0,0,1,12,0,0,0,0,0,3,0,0,1,0,0,34,1,0,0,3,0,0,2,0,0,5,2,0,0,5,0,0,0,0,2,1,0,1,0,3,3,0,0,0,0,0,0,11
2059,10,0,1,0,0,11,0,0,0,0,0,3,1,0,0,0,0,46,0,0,1,5,0,0,9,0,0,3,7,0,3,5,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,26
44475,14,1,3,0,0,17,0,0,0,0,0,0,3,0,0,0,0,50,1,0,1,2,0,0,7,0,0,6,3,0,1,4,0,1,0,2,4,2,1,1,0,4,2,0,0,0,1,0,1,18
41634,6,2,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,52,0,0,0,4,0,0,13,2,0,9,5,0,0,4,0,0,0,0,5,1,1,1,0,3,4,0,0,0,1,0,4,28
9355,17,2,3,0,0,24,0,0,0,0,0,0,3,0,0,0,0,74,1,0,2,18,0,0,9,0,0,8,4,0,2,2,0,0,0,0,3,1,1,2,0,1,5,0,0,0,3,0,1,36
28693,14,0,1,0,0,17,0,0,0,0,0,0,1,0,1,0,0,51,0,0,2,8,0,0,13,0,0,4,2,0,0,4,0,0,0,1,3,2,2,0,0,0,1,0,0,0,1,0,2,23
11298,11,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,57,2,0,0,7,0,0,16,2,0,2,4,0,3,3,0,0,0,0,1,1,1,0,0,1,1,0,0,0,5,0,1,33
11348,9,1,3,0,0,12,0,0,1,1,0,0,3,0,0,0,1,47,1,0,0,10,0,0,8,1,0,5,1,1,0,2,0,0,0,0,1,2,0,0,0,2,4,0,0,0,2,0,1,22
42062,14,0,3,0,0,16,0,0,0,0,0,0,3,0,0,0,2,64,0,0,0,7,0,0,12,1,0,7,5,0,1,1,0,0,0,0,1,3,1,3,0,5,6,0,0,0,2,1,0,34
15274,6,3,2,0,1,14,0,0,0,0,0,0,2,0,0,0,0,39,1,0,1,6,0,0,4,1,0,4,2,0,1,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0,4,0,2,15
41279,11,0,2,0,0,13,0,0,0,0,0,0,2,0,0,0,0,43,1,0,1,6,0,0,6,0,0,8,2,0,2,1,0,0,0,0,1,2,2,0,0,1,7,0,0,0,1,0,0,17
7564,23,2,1,0,0,26,0,0,0,0,0,1,1,1,0,0,0,82,0,0,0,13,0,1,13,1,0,7,9,0,1,4,0,0,0,0,3,3,1,2,1,2,4,0,0,0,1,0,2,41
42107,6,1,2,0,0,7,0,0,0,0,0,0,2,0,0,0,0,41,1,0,0,6,0,0,9,0,0,8,1,0,1,2,0,0,0,0,4,1,1,1,0,3,4,0,0,0,0,0,1,21
8599,8,0,2,0,0,9,0,0,0,0,0,0,2,0,0,0,0,51,2,0,0,8,0,0,10,1,0,10,3,0,1,4,0,0,0,0,2,0,0,1,0,2,8,0,0,0,1,0,2,26
41420,9,1,2,0,0,11,0,0,0,0,0,1,2,0,0,0,0,44,0,0,0,9,0,0,11,0,0,2,3,0,0,3,1,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,1,26
17849,13,1,6,0,0,15,0,0,0,0,0,1,6,0,0,0,0,54,0,0,0,6,0,0,8,1,0,6,1,0,2,4,0,0,0,0,1,1,1,1,0,3,5,0,0,0,1,0,3,22
41373,12,2,2,0,1,17,0,0,0,0,0,0,2,0,1,0,0,71,1,0,1,13,0,0,15,0,0,3,5,0,1,5,0,3,0,1,1,5,1,0,0,5,2,0,0,0,2,0,2,39
31410,9,5,3,1,0,19,0,0,0,0,0,0,3,1,0,0,0,59,0,0,0,6,0,0,13,0,0,7,4,0,0,2,0,0,0,0,1,1,0,1,0,3,6,0,0,0,4,1,1,27
43976,9,2,2,0,0,14,0,0,0,0,0,0,2,0,0,0,0,46,0,0,0,3,0,1,8,1,0,1,7,0,0,4,0,0,0,0,0,1,1,1,0,4,1,0,0,0,3,0,3,24
27414,12,3,1,0,0,18,0,0,0,0,0,0,1,1,0,0,0,43,0,0,1,8,0,0,8,0,0,2,2,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,2,0,1,20
30774,10,1,1,0,0,13,0,0,0,0,0,1,1,0,0,0,0,48,2,0,0,7,0,0,8,1,0,6,3,0,1,4,0,0,0,0,3,0,0,1,0,3,3,0,0,0,2,0,1,24
41910,8,1,2,0,0,13,0,0,0,0,0,1,2,0,0,0,0,44,2,0,0,4,0,0,6,0,0,6,3,0,3,4,0,0,0,0,2,1,0,0,1,2,4,0,1,0,4,0,0,18
4230,9,0,1,0,0,11,0,0,0,0,0,1,1,0,0,0,0,45,0,0,0,7,0,0,11,0,0,5,2,0,1,3,0,1,0,1,2,3,2,0,0,1,3,0,0,0,2,0,1,22
41755,11,1,1,0,0,15,0,0,0,0,0,0,1,0,1,0,0,56,0,0,1,4,0,0,12,0,0,8,4,0,1,7,0,1,0,0,3,2,1,0,0,2,5,0,0,0,2,0,6,23
9858,11,0,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,57,1,0,1,5,0,0,18,0,0,7,5,0,0,3,0,0,0,0,4,1,1,0,0,4,3,0,0,0,1,0,2,32
40905,11,0,3,0,0,19,0,0,0,0,0,1,3,0,0,0,0,64,1,0,2,9,0,0,12,0,0,5,5,0,1,5,1,0,0,1,3,0,0,3,0,2,2,0,0,0,6,0,1,32
18756,8,0,2,0,0,14,0,0,1,1,0,1,2,0,0,0,0,54,0,0,1,9,0,0,7,1,0,5,4,0,0,7,0,0,0,1,2,1,1,1,0,2,3,0,0,0,5,1,4,24
9360,15,0,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,64,0,0,0,11,0,0,17,0,0,2,5,1,1,3,0,0,0,1,0,4,3,1,0,2,2,0,0,0,1,1,1,38
42017,16,0,3,0,0,18,0,0,0,0,0,0,3,0,0,0,0,69,2,0,0,8,0,0,15,0,0,4,6,1,4,5,0,0,0,0,0,1,0,2,0,3,4,0,0,0,2,0,3,38
10771,13,1,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,3,0,0,11,0,0,2,8,0,1,3,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,2,26
44258,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,4,0,0,4,0,0,5,1,0,1,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,13
38784,12,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,9,0,0,7,0,1,6,5,0,1,4,0,0,0,0,2,1,0,2,0,5,4,0,0,0,2,0,3,29
20749,8,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,5,0,0,6,0,0,5,4,0,2,2,0,0,0,0,2,0,0,2,0,4,3,0,0,0,3,0,1,23
7046,11,2,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,55,0,0,1,8,0,0,12,0,0,7,4,0,1,2,0,0,0,0,3,0,0,1,0,4,4,0,0,0,1,0,2,30
2946,16,0,1,0,0,17,0,1,0,0,0,1,1,0,0,0,1,63,0,0,0,8,0,0,11,0,0,6,5,0,0,6,0,0,0,0,3,3,2,1,0,4,3,0,0,0,1,0,5,30
16627,9,1,1,0,0,10,0,0,0,0,0,1,1,0,0,0,0,39,0,0,0,4,0,0,8,0,0,7,2,0,2,3,0,0,0,0,4,0,0,2,0,0,3,0,0,0,0,0,2,18
29622,13,1,0,1,0,17,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,3,0,0,8,0,0,7,3,0,0,1,0,0,0,0,1,1,1,2,0,3,6,0,0,0,1,0,1,19
10294,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,6,0,0,14,0,0,5,3,0,1,4,0,1,0,1,3,1,0,1,0,4,2,0,0,0,1,0,3,29
9726,10,0,1,0,1,12,0,0,0,0,0,1,1,0,0,0,0,60,0,0,0,11,0,0,11,0,0,6,5,0,1,4,0,0,0,0,2,1,0,4,0,4,4,0,0,0,2,0,3,36
41271,10,2,2,0,0,16,0,0,0,0,0,1,2,0,0,0,0,58,0,0,0,9,0,1,8,2,0,5,7,0,1,5,1,0,0,0,0,0,0,1,0,2,5,0,0,0,4,0,2,30
42035,21,0,2,0,0,22,0,0,0,0,0,0,2,0,1,0,0,65,1,0,0,7,0,0,12,0,0,7,4,0,0,5,0,1,0,0,4,2,1,1,0,3,3,0,0,0,1,0,3,27
8592,16,1,3,1,0,18,0,0,0,0,0,0,3,0,0,0,0,62,0,0,0,3,0,0,21,0,0,5,2,1,1,0,0,1,0,0,4,3,1,0,0,6,1,0,0,0,0,0,0,33
41881,3,1,2,1,0,10,0,0,0,0,0,1,2,0,0,0,0,44,1,0,1,7,0,0,10,1,0,6,4,0,0,3,0,0,0,1,3,0,0,0,0,1,3,0,0,0,4,0,0,23
13258,9,4,2,2,0,17,0,0,0,0,0,0,2,0,0,0,0,42,0,0,0,4,0,0,8,0,0,3,3,0,1,1,0,2,0,0,2,2,0,0,0,1,1,0,0,0,2,0,1,17
20642,17,1,1,0,0,21,0,0,0,0,0,0,1,1,0,0,0,60,1,0,0,6,0,0,15,0,0,3,6,0,2,3,0,0,0,0,1,1,0,0,0,2,2,0,0,0,3,0,2,31
1964,7,1,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,35,1,0,0,5,0,0,4,0,0,7,4,0,0,2,0,0,0,0,1,0,0,0,0,1,6,0,0,0,3,0,1,14
34222,6,2,1,0,0,11,0,0,0,0,0,3,1,0,0,0,0,50,4,0,0,6,0,0,7,0,0,2,7,0,2,10,0,0,0,0,0,0,0,1,0,3,2,0,0,0,3,0,3,26
6927,12,0,1,0,0,13,0,0,0,0,0,0,1,0,0,0,1,48,0,0,0,6,0,0,9,1,0,5,3,0,1,3,0,0,0,0,2,1,0,0,0,5,3,0,0,0,1,0,3,25
1794,12,2,1,1,0,18,0,0,1,1,0,2,1,0,0,0,0,68,0,0,0,10,0,0,14,0,0,6,8,0,0,4,1,1,0,0,2,1,0,1,0,4,4,0,0,0,3,0,1,37
16190,10,0,3,0,0,11,0,0,0,0,0,2,3,0,0,0,0,51,1,0,0,7,0,0,14,0,0,3,5,0,0,4,0,0,0,0,0,0,0,2,0,2,3,0,0,0,1,0,1,30
41388,11,1,3,0,0,16,0,0,0,0,0,0,3,0,0,0,0,56,2,0,0,8,0,0,8,0,0,5,4,0,0,5,0,1,0,0,3,1,0,0,0,6,2,0,0,0,4,0,3,26
1165,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,5,0,0,13,0,0,10,4,0,1,7,0,0,0,1,4,1,1,1,0,2,6,0,0,0,4,0,6,26
22152,11,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,52,0,0,0,11,0,0,7,1,0,7,2,0,0,3,0,0,0,0,4,2,2,2,0,2,3,0,0,0,4,0,2,25
18067,12,1,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,7,0,0,7,0,0,3,4,0,2,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,1,22
2314,19,1,2,0,0,24,0,0,0,0,0,1,2,0,0,0,1,69,1,0,0,9,0,0,13,0,0,6,6,1,1,3,0,0,0,0,1,2,0,0,0,3,5,0,0,0,4,0,1,32
3590,8,3,2,0,0,16,0,0,1,1,0,0,2,0,0,0,0,52,0,0,0,5,0,0,13,0,0,6,1,0,2,2,0,0,0,0,2,0,0,1,0,3,4,0,0,0,5,0,2,25
41091,10,1,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,51,1,0,1,4,0,0,16,1,0,4,4,0,1,2,0,0,0,0,2,1,1,1,0,2,2,0,0,0,2,0,1,29
25602,5,3,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,46,0,0,0,6,0,0,10,0,0,4,3,0,2,4,0,0,0,1,0,4,3,0,0,3,4,0,0,0,1,0,3,24
15049,6,0,1,1,0,10,1,0,0,0,0,1,1,0,0,0,0,42,0,0,1,9,0,0,10,0,0,2,3,0,1,1,0,0,0,0,1,1,1,0,0,4,1,0,0,0,1,0,0,27
42434,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,11
17331,9,0,1,0,1,16,0,0,0,0,0,0,1,0,0,0,0,63,1,0,2,14,0,0,9,0,0,5,3,0,1,4,0,0,0,1,3,3,2,1,0,6,2,0,0,0,5,0,2,34
31080,17,2,1,0,0,21,0,0,0,0,0,1,1,0,0,0,0,56,2,0,0,12,0,0,7,0,0,7,2,0,1,5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,2,1,1,22
17695,6,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,7,0,0,15,0,1,2,1,0,0,3,0,0,0,0,1,3,2,0,0,0,1,0,0,0,5,0,2,23
38531,12,0,1,0,0,18,0,0,0,0,0,2,1,0,0,0,0,53,0,0,1,6,0,0,14,1,0,2,5,0,0,3,0,0,0,0,0,1,1,2,0,0,2,0,0,0,5,0,1,28
41934,16,3,1,1,0,20,0,0,0,0,0,0,1,1,0,0,0,45,0,0,0,4,0,0,12,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,22
31419,10,0,1,0,1,11,0,0,0,0,0,3,1,0,0,0,1,35,0,0,0,2,0,0,6,0,0,2,0,0,2,5,0,0,0,0,2,2,0,2,0,2,0,0,0,0,1,0,2,14
2696,8,0,2,0,0,10,0,0,0,0,0,0,2,0,0,0,2,43,0,0,0,8,0,0,12,0,0,4,2,0,1,2,0,0,0,0,1,2,0,0,0,0,3,0,0,0,2,0,2,23
18858,13,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,47,0,0,0,5,0,1,11,0,0,5,2,0,1,4,0,0,0,1,2,0,0,0,0,3,2,1,0,0,2,0,1,22
37677,9,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,51,0,0,1,4,0,0,15,2,0,3,6,0,0,1,0,0,0,0,3,1,1,1,0,6,0,0,0,0,1,0,1,34
44421,12,1,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,46,2,0,0,8,0,0,7,0,0,4,1,0,1,5,0,1,0,1,2,1,0,1,0,2,2,0,0,0,2,1,1,20
